rxn; rxn_REV ; ; WT_rxn_flux; WT_rxn_REV_flux; ; O_rxn_flux;O_rxn_REV_flux
r_0984No1; r_0984_REVNo1; ; 0.8347073430527009; 0.0; ;0.4173536715263504; 0.0
P30624;;;;;;
r_2194No1; r_2194_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2195No2; r_2195_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_2196No2; r_2196_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_2197No2; r_2197_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_2198No2; r_2198_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_2199No2; r_2199_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_2200No1; r_2200_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2201No2; r_2201_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_2202No2; r_2202_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_2203No2; r_2203_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_2204No2; r_2204_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_2205No2; r_2205_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
P04076;;;;;;
r_0207No1; r_0207_REVNo1; ; 0.06524555556857718; 0.0; ;0.0325901550065043; 0.0
P33315;;;;;;
r_1049No1; r_1049_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_1050No1; r_1050_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P47052;;;;;;
r_1021No1; r_1021_REVNo1; ; 0.03311956260827112; 0.0; ;0.01655978130413556; 0.0
Q08645;;;;;;
r_1031No2; r_1031_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
P38790;;;;;;
r_2148No1; r_2148_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2149No1; r_2149_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2150No1; r_2150_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P31115;;;;;;
r_1095No1; r_1095_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P33421;;;;;;
r_1021No1; r_1021_REVNo1; ; 0.03311956260827112; 0.0; ;0.01655978130413556; 0.0
r_1021No2; r_1021_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
Q12211;;;;;;
r_1095No4; r_1095_REVNo4; ; 0.0; 0.0; ;0.0; 0.0
P22133;;;;;;
r_0714No1; r_0714_REVNo1; ; 0.0; 0.342156361859538; ;0.0; 0.171078180929769
P53312;;;;;;
r_0668No1; r_0668_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P33401;;;;;;
r_0888No2; r_0888_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_0907No1; r_0907_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P07264;;;;;;
r_0023No1; r_0023_REVNo1; ; 0.0; 0.12032004248777517; ;0.0; 0.06009986122264369
r_0060No1; r_0060_REVNo1; ; 0.0; 0.12032004248777517; ;0.0; 0.06009986122264369
P53598;;;;;;
r_0668No1; r_0668_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P38226;;;;;;
r_2462No1; r_2462_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2463No1; r_2463_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P37291;;;;;;
r_0502No1; r_0502_REVNo1; ; 0.14318749632555888; 0.0; ;0.07159374816277944; 0.0
P23797;;;;;;
r_0518No1; r_0518_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P52893;;;;;;
r_0674No1; r_0674_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P31373;;;;;;
r_0815No3; r_0815_REVNo3; ; 0.0; 0.0; ;0.0; 0.0
Q06510;;;;;;
r_2620No1; r_2620_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2621No1; r_2621_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2622No1; r_2622_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2623No1; r_2623_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2624No1; r_2624_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2625No1; r_2625_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2626No1; r_2626_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2627No1; r_2627_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2628No1; r_2628_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2629No1; r_2629_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2630No1; r_2630_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2631No1; r_2631_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2632No1; r_2632_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2633No1; r_2633_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2634No1; r_2634_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2635No1; r_2635_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2636No1; r_2636_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2637No1; r_2637_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2638No1; r_2638_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2639No1; r_2639_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2640No1; r_2640_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2641No1; r_2641_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2642No1; r_2642_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2643No1; r_2643_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2644No1; r_2644_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2645No1; r_2645_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2646No1; r_2646_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2647No1; r_2647_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2648No1; r_2648_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2649No1; r_2649_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2650No1; r_2650_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2651No1; r_2651_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2652No1; r_2652_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2653No1; r_2653_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2654No1; r_2654_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2655No1; r_2655_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2656No1; r_2656_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2657No1; r_2657_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2658No1; r_2658_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2659No1; r_2659_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2660No1; r_2660_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2661No1; r_2661_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2662No1; r_2662_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2663No1; r_2663_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2664No1; r_2664_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2665No1; r_2665_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2666No1; r_2666_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2667No1; r_2667_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2668No1; r_2668_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2669No1; r_2669_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2670No1; r_2670_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2671No1; r_2671_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2672No1; r_2672_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2673No1; r_2673_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2674No1; r_2674_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2675No1; r_2675_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2676No1; r_2676_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2677No1; r_2677_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2678No1; r_2678_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2679No1; r_2679_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2680No1; r_2680_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2681No1; r_2681_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2682No1; r_2682_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2683No1; r_2683_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2684No1; r_2684_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2685No1; r_2685_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2686No1; r_2686_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2687No1; r_2687_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2688No1; r_2688_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2689No1; r_2689_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
