Alias_3;Gene_name;Alias_1;Alias_2;Rule
b0811;GlnH;glnh;glnH;
b0825;Fsa;fsa;fsa;
b0828;YbiK;ybik;ybiK;
b0840;DeoR;deor;deoR;(NOT((PPM2>0) OR (PPM2<0)) ) 
b0854;PotF;potf;potF;
b0855;PotG;potg;potG;
b0856;PotH;poth;potH;
b0857;PotI;poti;potI;
b0860;ArtJ;artj;artJ;
b0861;ArtM;artm;artM;
b0862;ArtQ;artq;artQ;
b0864;ArtP;artp;artP;
b0870;LtaA;ltaa;ltaA;
b0871;PoxB;poxb;poxB;((NOT (Growth>0)) AND (RpoS))
b0888;TrxB;trxb;trxB;
b0889;Lrp;lrp;lrp;(NOT leu-L(e)>0) 
b0894;DmsA;dmsa;dmsA;(Fnr AND NOT NarL)
b0895;DmsB;dmsb;dmsB;(Fnr AND NOT NarL)
b0896;DmsC;dmsc;dmsC;(Fnr AND NOT NarL)
b0902;PflA;pfla;pflA;(ArcA OR Fnr AND (Crp OR NOT(NarL)))
b0903;PflB;pflb;pflB;(ArcA OR Fnr AND (Crp OR NOT(NarL)))
b0904;FocA;foca;focA;(ArcA OR Fnr AND (Crp OR NOT (NarL)))
b0907;SerC;serc;serC;(Lrp OR (NOT (Crp)))
b0908;AroA;aroa;aroA;
b0910;Cmk;cmk;cmk;
b0915;LpxK;lpxk;lpxK;
b0918;KdsB;kdsb;kdsB;
b0928;AspC;aspc;aspC;
b0931;PncB;pncb;pncB;(NOT (NadR))
b0945;PyrD;pyrd;pyrD;((NOT (csn(e)>0)) OR (gua(e)>0) OR NOT PurR)
b0954;FabA;faba;fabA;(NOT(Stringent) OR CpxR OR RpoE OR ( NOT (ttdca(e)>0 OR hdca(e)>0 OR ocdca(e)>0) ))
b0963;MgsA;mgsa;mgsA;
b0972;HyaA;hyaa;hyaA;((ArcA OR Fnr) AND (AppY))
b0973;HyaB;hyab;hyaB;((ArcA OR Fnr) AND (AppY))
b0974;HyaC;hyac;hyaC;((ArcA OR Fnr) AND (AppY))
b0993;TorS;tors;torS;(tmao(e)>0)
b0995;TorR;torr;torR;(TorS)
b0996;TorC;torc;torC;(TorR OR NOT (NarL))
b0997;TorA;tora;torA;(TorR OR NOT (NarL))
b1002;Agp;agp;agp;
b1006;YcdG;ycdg;ycdG;
b1014;PutA;puta;putA;( (pro-L(e)>0) OR Crp OR Nac)
b1015;PutP;putp;putP;( (pro-L(e)>0) OR Crp OR Nac)
b1033;YcdW;ycdw;ycdW;
b1054;LpxL;lpxl;lpxL;
b1062;PyrC;pyrc;pyrC;((NOT (csn(e)>0)) OR (gua(e)>0) OR NOT PurR)
b1091;FabH;fabh;fabH;(NOT(Stringent))
b1092;FabD;fabd;fabD;(NOT(Stringent))
b1093;FabG;fabg;fabG;(NOT(Stringent) OR CpxR OR RpoE OR ( NOT (ttdca(e)>0 OR hdca(e)>0 OR ocdca(e)>0) ))
b1095;FabF;fabf;fabF;(NOT(Stringent) OR CpxR OR RpoE OR ( NOT (ttdca(e)>0 OR hdca(e)>0 OR ocdca(e)>0) ))
b1096;PabC;pabc;pabC;
b1098;Tmk;tmk;tmk;
b1101;PtsG;ptsg;ptsG;(NOT(Mlc) OR NOT(FruR))
b1109;Ndh;ndh;ndh;(NOT (Fnr))
b1123;PotD;potd;potD;
b1124;PotC;potc;potC;
b1125;PotB;potb;potB;
b1126;PotA;pota;potA;
b1131;PurB;purb;purB;(NOT (PurR))
b1136;IcdA;icda;icdA;
b1186;NhaB;nhab;nhaB;
b1187;FadR;fadr;fadR;( glc-D(e)>0 OR NOT (ac(e)>0 ) )
b1189;DadA;dada;dadA;(ala-L(e)>0 AND NOT Crp)
b1190;DadX;dadx;dadX;(((ala-L(e)>0) OR (ala-D(e)>0)) AND Crp)
b1197;TreA;trea;treA;(RpoS)
b1198;DhaH;dhah;dhaH;
b1199;DhaK2;dhak2;dhaK2;
b1200;DhaK1;dhak1;dhaK1;
b1207;PrsA;prsa;prsA;(NOT PurR) 
b1208;IspE;ispe;ispE;
b1210;HemA;hema;hemA;
b1215;KdsA;kdsa;kdsA;
b1216;ChaA;chaa;chaA;
b1221;NarL;narl;narL;((no3(e)>0) OR (no2(e)>0))
b1223;NarK;nark;narK;(Fnr OR NarL)
b1224;NarG;narg;narG;(Fnr AND NarL)
b1225;NarH;narh;narH;(Fnr AND NarL)
b1226;NarJ;narj;narJ;(Fnr AND NarL)
b1227;NarI;nari;narI;(Fnr AND NarL)
b1232;PurU;puru;purU;
b1236;GalU;galu;galU;
b1238;Tdk;tdk;tdk;
b1241;AdhE;adhe;adhE;(NOT (o2(e)>0) OR (NOT ((o2(e)>0) AND (FruR))) OR (Fis) OR NOT (NarL) OR (RpoS))
b1249;Cls;cls;cls;
b1260;TrpA;trpa;trpA;(NOT TrpR)
b1261;TrpB;trpb;trpB;(NOT TrpR)
b1262;TrpC;trpc;trpC;(NOT TrpR)
b1263;TrpD;trpd;trpD;(NOT TrpR)
b1264;TrpE;trpe;trpE;(NOT TrpR)
b1270;BtuR;btur;btuR;
b1275;CysB;cysb;cysB;(NOT (cys-L(e)>0)) 
b1276;AcnA;acna;acnA;(SoxS)
b1277;RibA;riba;ribA;
b1278;PgpB;pgpb;pgpB;
b1281;PyrF;pyrf;pyrF;
b1288;FabI;fabi;fabI;(NOT(Stringent) OR CpxR OR RpoE OR ( NOT (ttdca(e)>0 OR hdca(e)>0 OR ocdca(e)>0) ))
b1297;YcjK;ycjk;ycjK;
b1300;AldH;aldh;aldH;
b1302;GoaG;goag;goaG;
b1323;TyrR;tyrr;tyrR;( (trp-L(e)>0) OR (tyr-L(e)>0) OR (phe-L(e)>0) )
b1334;Fnr;fnr;fnr;( NOT ( o2(e)>0 ) )
b1363;TrkG;trkg;trkG;
b1380;LdhA;ldha;ldhA;
b1384;FeaR;fear;feaR;(Crp)
b1385;FeaB;feab;feaB;(FeaR)
b1386;TynA;tyna;tynA;(FeaB)
b1398;PaaK;paak;paaK;
b1415;AldA;alda;aldA;
b1416;GapC_2;gapc_2;gapC_2;
b1417;GapC_1;gapc_1;gapC_1;
b1440;YdcS;ydcs;ydcS;
b1441;YdcT;ydct;ydcT;
b1442;YdcU;ydcu;ydcU;
b1443;YdcV;ydcv;ydcV;
b1469;NarU;naru;narU;
b1474;FdnG;fdng;fdnG;(Fnr OR NarL)
b1475;FdnH;fdnh;fdnH;(Fnr OR NarL)
b1476;FdnI;fdni;fdnI;(Fnr OR NarL)
b1479;SfcA;sfca;sfcA;
b1492;XasA;xasa;xasA;
b1493;GadB;gadb;gadB;((NOT (Growth>0)) OR (pH<4) )
b1519;Tam;tam;tam;(NOT (Growth>0))
b1521;UxaB;uxab;uxaB;(NOT ExuR)
b1524;YneH;yneh;yneH;((NOT (glc-D(e)>0) OR ((nh4(e)>0) AND NOT Crp)))
b1531;MarA;mara;marA;(Salicylate)
b1584;SpeG;speg;speG;
b1594;Mlc;mlc;mlc;( NOT ( glc-D(e)>0 ) )
b1602;PntB;pntb;pntB;
b1603;PntA;pnta;pntA;
b1605;ArcD;arcd;arcD;
b1611;FumC;fumc;fumC;(MarA OR Rob OR SoxS AND (NOT(ArcA)))
b1612;FumA;fuma;fumA;(NOT(ArcA OR Fnr))
b1613;ManA;mana;manA;
b1620;MalI;mali;malI;(NOT (malt(e)>0))
b1621;MalX;malx;malX;((MalT AND Crp) OR MalT)
b1622;MalY;maly;malY;(NOT (MalI))
b1623;Add;add;add;((ade(e)>0) OR (hxan(e)>0))
b1636;PdxY;pdxy;pdxY;
b1638;PdxH;pdxh;pdxH;
b1646;SodC;sodc;sodC;(NOT(Growth>0) AND NOT Fnr)
b1651;GloA;gloa;gloA;
b1656;SodB;sodb;sodB;
b1658;PurR;purr;purR;((hxan(e)>0) OR (gua(e)>0))
b1662;RibE;ribe;ribE;
b1676;PykF;pykf;pykF;(NOT(FruR))
b1692;YdiB;ydib;ydiB;
b1693;AroD;arod;aroD;
b1702;Pps;pps;pps;(FruR)
b1704;AroH;aroh;aroH;(NOT TrpR)
b1709;BtuD;btud;btuD;
b1711;BtuC;btuc;btuC;
b1723;PfkB;pfkb;pfkB;
b1732;KatE;kate;katE;(NOT(Growth>0))
b1740;NadE;nade;nadE;
b1744;AstE;aste;astE;((NOT(Growth>0) AND RpoS) OR (((GlnG AND GlnB AND GlnD) AND RpoN) AND RpoN)) 
b1745;AstB;astb;astB;((NOT(Growth>0) AND RpoS) OR (((GlnG AND GlnB AND GlnD) AND RpoN) AND RpoN)) 
b1746;AstD;astd;astD;((NOT(Growth>0) AND RpoS) OR (((GlnG AND GlnB AND GlnD) AND RpoN) AND RpoN)) 
